Category,Sub-Category,Total_Quantity
Furniture,Bookcases,868.0
Furniture,Chairs,2356.0
Furniture,Furnishings,3563.0
Furniture,Tables,1241.0
Office Supplies,Appliances,1729.0
Office Supplies,Art,3000.0
Office Supplies,Binders,5974.0
Office Supplies,Envelopes,906.0
Office Supplies,Fasteners,914.0
Office Supplies,Labels,1400.0
Office Supplies,Paper,5178.0
Office Supplies,Storage,3158.0
Office Supplies,Supplies,647.0
Technology,Accessories,2976.0
Technology,Copiers,234.0
Technology,Machines,440.0
Technology,Phones,3289.0
